Ngày,Mã CK,Giá đóng cửa,Giá mở cửa,Giá cao nhất,Giá thấp nhất
2023-06-15,FPT,95900.0,96000.0,96900.0,95400.0
2023-06-16,FPT,94200.0,93900.0,94700.0,93300.0
2023-06-19,FPT,94100.0,94100.0,94600.0,93500.0
2023-06-20,FPT,96100.0,95300.0,96800.0,94900.0
2023-06-21,FPT,94400.0,94300.0,94500.0,94000.0
2023-06-22,FPT,94100.0,94100.0,94500.0,93500.0
2023-06-23,FPT,93500.0,93600.0,93800.0,93500.0
2023-06-26,FPT,93300.0,93200.0,93800.0,92800.0
2023-06-27,FPT,95200.0,95300.0,95600.0,94800.0
2023-06-28,FPT,96500.0,96600.0,96700.0,96100.0
2023-06-29,FPT,96600.0,96200.0,96600.0,95300.0
2023-06-30,FPT,96700.0,96900.0,97500.0,96600.0
2023-07-03,FPT,98000.0,98000.0,98500.0,97300.0
2023-07-04,FPT,96700.0,96200.0,97000.0,96100.0
2023-07-05,FPT,97500.0,97500.0,98000.0,97000.0
2023-07-06,FPT,96600.0,96500.0,96900.0,95700.0
2023-07-07,FPT,97600.0,98100.0,98100.0,97400.0
2023-07-10,FPT,99100.0,98200.0,99200.0,98100.0
2023-07-11,FPT,98400.0,98900.0,99400.0,98300.0
2023-07-12,FPT,98300.0,98100.0,98600.0,97500.0
2023-07-13,FPT,100200.0,100600.0,101000.0,99700.0
2023-07-14,FPT,103200.0,104000.0,104100.0,102700.0
2023-07-17,FPT,102000.0,102200.0,102700.0,102000.0
2023-07-18,FPT,103600.0,103000.0,104600.0,102200.0
2023-07-19,FPT,101800.0,101200.0,101900.0,100700.0
2023-07-20,FPT,101500.0,100500.0,101600.0,99600.0
2023-07-21,FPT,99900.0,99800.0,100600.0,99500.0
2023-07-24,FPT,99700.0,100500.0,100600.0,99500.0
2023-07-25,FPT,100500.0,100300.0,101200.0,100100.0
2023-07-26,FPT,100300.0,100400.0,100600.0,100000.0
2023-07-27,FPT,100900.0,101600.0,102200.0,100000.0
2023-07-28,FPT,100600.0,100300.0,101800.0,100200.0
2023-07-31,FPT,102600.0,102900.0,103800.0,102500.0
2023-08-01,FPT,101900.0,101400.0,102800.0,101300.0
2023-08-02,FPT,102700.0,102900.0,103100.0,102300.0
2023-08-03,FPT,101400.0,101200.0,101900.0,101100.0
2023-08-04,FPT,101400.0,101000.0,101500.0,100600.0
2023-08-07,FPT,101400.0,101600.0,101700.0,101200.0
2023-08-08,FPT,99100.0,98900.0,99200.0,98600.0
2023-08-09,FPT,96900.0,97000.0,97600.0,96800.0
2023-08-10,FPT,96800.0,97000.0,97100.0,96500.0
2023-08-11,FPT,97000.0,97100.0,97500.0,96900.0
2023-08-14,FPT,98700.0,98600.0,98800.0,98400.0
2023-08-15,FPT,99800.0,99500.0,100300.0,99000.0
2023-08-16,FPT,98400.0,98500.0,98600.0,98300.0
2023-08-17,FPT,99900.0,99700.0,100100.0,99200.0
2023-08-18,FPT,101700.0,102000.0,102300.0,101600.0
2023-08-21,FPT,100600.0,100500.0,100900.0,100500.0
2023-08-22,FPT,100800.0,100300.0,100900.0,100000.0
2023-08-23,FPT,99300.0,99200.0,100200.0,98900.0
2023-08-24,FPT,100600.0,100600.0,101100.0,100100.0
2023-08-25,FPT,100400.0,99400.0,100500.0,99100.0
2023-08-28,FPT,100000.0,99800.0,100100.0,99600.0
2023-08-29,FPT,101600.0,101600.0,102000.0,101400.0
2023-08-30,FPT,101900.0,102500.0,102700.0,101400.0
2023-08-31,FPT,100700.0,99900.0,100900.0,99200.0
2023-09-01,FPT,99000.0,98200.0,99600.0,97900.0
2023-09-04,FPT,97200.0,96500.0,97300.0,96300.0
2023-09-05,FPT,97800.0,98100.0,98100.0,97200.0
2023-09-06,FPT,97700.0,97900.0,98200.0,97000.0
2023-09-07,FPT,99200.0,99000.0,99400.0,99000.0
2023-09-08,FPT,100700.0,100800.0,101000.0,100400.0
2023-09-11,FPT,103800.0,104400.0,104800.0,103200.0
2023-09-12,FPT,109300.0,108800.0,109500.0,108400.0
2023-09-13,FPT,111800.0,112000.0,112800.0,111700.0
2023-09-14,FPT,112700.0,112600.0,113400.0,112200.0
2023-09-15,FPT,112100.0,112100.0,112400.0,111700.0
2023-09-18,FPT,110600.0,109800.0,111000.0,109100.0
2023-09-19,FPT,109800.0,110800.0,111100.0,109200.0
2023-09-20,FPT,108500.0,108600.0,109200.0,107200.0
2023-09-21,FPT,107100.0,107400.0,108200.0,107000.0
2023-09-22,FPT,105600.0,105500.0,105800.0,105000.0
2023-09-25,FPT,105700.0,105100.0,105700.0,104700.0
2023-09-26,FPT,102600.0,102300.0,103300.0,102000.0
2023-09-27,FPT,105400.0,106200.0,106500.0,105200.0
2023-09-28,FPT,106400.0,106900.0,107100.0,106300.0
2023-09-29,FPT,109800.0,109800.0,110100.0,109700.0
2023-10-02,FPT,110700.0,110200.0,110800.0,109600.0
2023-10-03,FPT,110300.0,111100.0,111500.0,110200.0
2023-10-04,FPT,108900.0,108800.0,109500.0,108500.0
2023-10-05,FPT,111200.0,110600.0,111400.0,109600.0
2023-10-06,FPT,108100.0,108600.0,109600.0,108100.0
2023-10-09,FPT,107900.0,108300.0,110000.0,106900.0
2023-10-10,FPT,107100.0,107100.0,107600.0,107000.0
2023-10-11,FPT,105300.0,105100.0,105700.0,105000.0
2023-10-12,FPT,106200.0,106800.0,107200.0,106000.0
2023-10-13,FPT,106300.0,106200.0,106300.0,105400.0
2023-10-16,FPT,106900.0,106500.0,107400.0,105700.0
2023-10-17,FPT,108700.0,108600.0,109300.0,108500.0
2023-10-18,FPT,106200.0,105700.0,106600.0,105300.0
2023-10-19,FPT,104600.0,104500.0,104700.0,104000.0
2023-10-20,FPT,104200.0,104000.0,105500.0,103700.0
2023-10-23,FPT,103000.0,103500.0,104100.0,102200.0
2023-10-24,FPT,104800.0,104100.0,105100.0,103800.0
2023-10-25,FPT,104300.0,103600.0,104400.0,103500.0
2023-10-26,FPT,106300.0,106600.0,108200.0,105400.0
2023-10-27,FPT,106300.0,105800.0,106900.0,105400.0
2023-10-30,FPT,107400.0,107100.0,107800.0,106000.0
2023-10-31,FPT,110000.0,110200.0,110300.0,109500.0
2023-11-01,FPT,111200.0,111600.0,112500.0,110800.0
2023-11-02,FPT,111600.0,111800.0,112300.0,111000.0
2023-11-03,FPT,111800.0,112800.0,113200.0,111300.0
2023-11-06,FPT,111800.0,112100.0,113100.0,111700.0
2023-11-07,FPT,113800.0,113400.0,114100.0,112900.0
2023-11-08,FPT,112700.0,113200.0,113600.0,112200.0
2023-11-09,FPT,112700.0,113600.0,113800.0,112200.0
2023-11-10,FPT,111600.0,111600.0,112300.0,111300.0
2023-11-13,FPT,112900.0,112900.0,113700.0,112800.0
2023-11-14,FPT,112700.0,113300.0,113700.0,111800.0
2023-11-15,FPT,114800.0,115000.0,116200.0,114800.0
2023-11-16,FPT,114200.0,115000.0,115400.0,113900.0
2023-11-17,FPT,112800.0,112300.0,113200.0,111500.0
2023-11-20,FPT,111200.0,110500.0,112000.0,109600.0
2023-11-21,FPT,110400.0,110100.0,111100.0,109800.0
2023-11-22,FPT,110400.0,110200.0,110700.0,109300.0
2023-11-23,FPT,110800.0,111000.0,112400.0,110400.0
2023-11-24,FPT,107500.0,107300.0,107700.0,106900.0
2023-11-27,FPT,108300.0,107900.0,108600.0,107100.0
2023-11-28,FPT,107900.0,108100.0,108400.0,107800.0
2023-11-29,FPT,110900.0,110700.0,111200.0,109200.0
2023-11-30,FPT,113700.0,113500.0,114400.0,112800.0
2023-12-01,FPT,115700.0,115800.0,116600.0,115500.0
2023-12-04,FPT,114800.0,114300.0,115400.0,113100.0
2023-12-05,FPT,115700.0,115900.0,117100.0,115500.0
2023-12-06,FPT,112400.0,112000.0,112400.0,111800.0
2023-12-07,FPT,114000.0,113100.0,114200.0,112600.0
2023-12-08,FPT,116500.0,117400.0,117600.0,115900.0
2023-12-11,FPT,119400.0,120000.0,120400.0,118900.0
2023-12-12,FPT,118100.0,117400.0,118700.0,117200.0
2023-12-13,FPT,118100.0,117800.0,118300.0,117700.0
2023-12-14,FPT,116400.0,116400.0,116500.0,116400.0
2023-12-15,FPT,115300.0,115700.0,116800.0,115000.0
2023-12-18,FPT,117300.0,117700.0,119300.0,116900.0
2023-12-19,FPT,116300.0,116700.0,116800.0,116000.0
2023-12-20,FPT,117400.0,117000.0,117800.0,116300.0
2023-12-21,FPT,117200.0,117100.0,117300.0,116700.0
2023-12-22,FPT,118700.0,119100.0,120000.0,118300.0
2023-12-25,FPT,119100.0,119400.0,119800.0,118700.0
2023-12-26,FPT,121300.0,122100.0,123300.0,121300.0
2023-12-27,FPT,121900.0,122100.0,122100.0,121500.0
2023-12-28,FPT,121700.0,121600.0,122800.0,121500.0
2023-12-29,FPT,121900.0,122300.0,122400.0,121700.0
2024-01-01,FPT,121800.0,121200.0,121800.0,120500.0
2024-01-02,FPT,122200.0,121600.0,122800.0,121100.0
2024-01-03,FPT,122700.0,122700.0,123000.0,121500.0
2024-01-04,FPT,120900.0,120800.0,121100.0,120800.0
2024-01-05,FPT,119300.0,119400.0,119700.0,118700.0
2024-01-08,FPT,119900.0,119800.0,120600.0,119400.0
2024-01-09,FPT,121100.0,121300.0,121800.0,120500.0
2024-01-10,FPT,118700.0,120100.0,120700.0,118600.0
2024-01-11,FPT,118100.0,118000.0,118400.0,116900.0
2024-01-12,FPT,116500.0,115900.0,116600.0,115500.0
2024-01-15,FPT,115500.0,115600.0,115900.0,115000.0
2024-01-16,FPT,114900.0,115000.0,115800.0,114500.0
2024-01-17,FPT,114300.0,114500.0,114700.0,114200.0
2024-01-18,FPT,114700.0,114500.0,115500.0,114000.0
2024-01-19,FPT,115500.0,115000.0,116100.0,114600.0
2024-01-22,FPT,115100.0,115300.0,115800.0,114400.0
2024-01-23,FPT,115200.0,114300.0,115500.0,112800.0
2024-01-24,FPT,114000.0,113700.0,114300.0,113500.0
2024-01-25,FPT,113400.0,113100.0,114300.0,112400.0
2024-01-26,FPT,111700.0,112300.0,113200.0,111200.0
2024-01-29,FPT,114100.0,113100.0,114400.0,112400.0
2024-01-30,FPT,113900.0,113800.0,114900.0,113300.0
2024-01-31,FPT,113900.0,114200.0,114300.0,113400.0
2024-02-01,FPT,113800.0,113800.0,114300.0,113300.0
2024-02-02,FPT,113100.0,113200.0,113300.0,113000.0
2024-02-05,FPT,113200.0,112900.0,113700.0,112700.0
2024-02-06,FPT,111500.0,112000.0,112100.0,110800.0
2024-02-07,FPT,111900.0,112000.0,112400.0,111300.0
2024-02-08,FPT,111400.0,111100.0,111700.0,110600.0
2024-02-09,FPT,110300.0,110400.0,110400.0,110000.0
2024-02-12,FPT,109200.0,109400.0,109700.0,108600.0
2024-02-13,FPT,109000.0,108900.0,109600.0,108400.0
2024-02-14,FPT,110300.0,110300.0,110400.0,110000.0
2024-02-15,FPT,110300.0,110700.0,111600.0,110300.0
2024-02-16,FPT,111100.0,111500.0,111700.0,110500.0
2024-02-19,FPT,112500.0,111800.0,113500.0,111300.0
2024-02-20,FPT,112900.0,112900.0,113900.0,112400.0
2024-02-21,FPT,111100.0,110800.0,111200.0,110200.0
2024-02-22,FPT,111400.0,111500.0,112000.0,110500.0
2024-02-23,FPT,109200.0,108600.0,109400.0,108500.0
2024-02-26,FPT,109900.0,109600.0,110500.0,109200.0
2024-02-27,FPT,108900.0,109100.0,109400.0,108500.0
2024-02-28,FPT,109800.0,110300.0,110800.0,109400.0
2024-02-29,FPT,111100.0,110900.0,111200.0,109900.0
2024-03-01,FPT,111600.0,111300.0,111800.0,111000.0
2024-03-04,FPT,109500.0,109100.0,109700.0,108800.0
2024-03-05,FPT,109800.0,109300.0,109800.0,108400.0
2024-03-06,FPT,106500.0,106800.0,107500.0,106200.0
2024-03-07,FPT,104500.0,103900.0,104700.0,103700.0
2024-03-08,FPT,105900.0,106100.0,106200.0,105500.0
2024-03-11,FPT,107600.0,107800.0,108000.0,107100.0
2024-03-12,FPT,110400.0,110700.0,111700.0,109900.0
2024-03-13,FPT,111700.0,111200.0,112300.0,111200.0
2024-03-14,FPT,109100.0,108800.0,109600.0,108400.0
2024-03-15,FPT,110000.0,109400.0,110300.0,108800.0
2024-03-18,FPT,110400.0,110500.0,111400.0,109700.0
2024-03-19,FPT,109100.0,109700.0,110000.0,109100.0
2024-03-20,FPT,109100.0,109600.0,110200.0,108900.0
2024-03-21,FPT,110000.0,110400.0,110500.0,109400.0
2024-03-22,FPT,108900.0,109400.0,109600.0,108100.0
2024-03-25,FPT,109600.0,109700.0,109900.0,109200.0
2024-03-26,FPT,109300.0,108700.0,110200.0,108100.0
2024-03-27,FPT,108300.0,108800.0,109100.0,107900.0
2024-03-28,FPT,110600.0,110500.0,111200.0,110000.0
2024-03-29,FPT,111900.0,111800.0,112600.0,111100.0
2024-04-01,FPT,112900.0,112300.0,113300.0,111500.0
2024-04-02,FPT,112100.0,111600.0,112500.0,111100.0
2024-04-03,FPT,111200.0,111500.0,111700.0,110900.0
2024-04-04,FPT,113000.0,112800.0,113000.0,112500.0
2024-04-05,FPT,115700.0,116100.0,116900.0,115100.0
2024-04-08,FPT,117500.0,116700.0,118000.0,116600.0
2024-04-09,FPT,117600.0,117400.0,117900.0,117200.0
2024-04-10,FPT,119000.0,118300.0,119100.0,118000.0
2024-04-11,FPT,117500.0,117700.0,117900.0,117100.0
2024-04-12,FPT,116300.0,116400.0,116400.0,115700.0
2024-04-15,FPT,115000.0,114900.0,115200.0,114300.0
2024-04-16,FPT,115800.0,115400.0,117400.0,114900.0
2024-04-17,FPT,114600.0,114700.0,115200.0,114100.0
2024-04-18,FPT,117500.0,117300.0,117600.0,117000.0
2024-04-19,FPT,117500.0,118200.0,118700.0,117000.0
2024-04-22,FPT,120100.0,120700.0,121000.0,119700.0
2024-04-23,FPT,120300.0,119900.0,120600.0,119700.0
2024-04-24,FPT,116600.0,117000.0,117100.0,116000.0
2024-04-25,FPT,116400.0,116500.0,117100.0,116200.0
2024-04-26,FPT,116900.0,118400.0,118500.0,116800.0
2024-04-29,FPT,119800.0,119400.0,120400.0,118500.0
2024-04-30,FPT,120700.0,121000.0,121400.0,119900.0
2024-05-01,FPT,122500.0,123100.0,123200.0,122500.0
2024-05-02,FPT,123700.0,123900.0,124300.0,123000.0
2024-05-03,FPT,123400.0,122800.0,123800.0,122500.0
2024-05-06,FPT,123300.0,123400.0,124400.0,122800.0
2024-05-07,FPT,122600.0,122700.0,123400.0,122100.0
2024-05-08,FPT,124700.0,124800.0,124800.0,124400.0
2024-05-09,FPT,122500.0,122800.0,122800.0,121900.0
2024-05-10,FPT,122200.0,122000.0,122400.0,122000.0
2024-05-13,FPT,120300.0,120200.0,121100.0,120100.0
2024-05-14,FPT,118800.0,119100.0,120200.0,117500.0
2024-05-15,FPT,118900.0,119000.0,119100.0,118400.0
2024-05-16,FPT,118700.0,118000.0,118800.0,117000.0
2024-05-17,FPT,118500.0,118600.0,119600.0,118200.0
2024-05-20,FPT,119800.0,120500.0,121400.0,119600.0
2024-05-21,FPT,117800.0,117200.0,118700.0,116800.0
2024-05-22,FPT,116500.0,116600.0,117000.0,116400.0
2024-05-23,FPT,120200.0,120500.0,122300.0,120000.0
2024-05-24,FPT,119000.0,118900.0,119000.0,118500.0
2024-05-27,FPT,117300.0,117900.0,118300.0,116900.0
2024-05-28,FPT,118400.0,118700.0,119500.0,117800.0
2024-05-29,FPT,119800.0,119500.0,120500.0,119400.0
2024-05-30,FPT,116000.0,116000.0,117000.0,115900.0
2024-05-31,FPT,116000.0,115800.0,116900.0,115200.0
2024-06-03,FPT,114700.0,114600.0,115400.0,114200.0
2024-06-04,FPT,113900.0,114500.0,115300.0,113500.0
2024-06-05,FPT,113700.0,113800.0,114200.0,113300.0
2024-06-06,FPT,115000.0,115000.0,116400.0,114800.0
2024-06-07,FPT,117100.0,117400.0,118100.0,116300.0
2024-06-10,FPT,115400.0,114400.0,115900.0,113800.0
2024-06-11,FPT,115600.0,115500.0,116500.0,115100.0
2024-06-12,FPT,114500.0,114800.0,115500.0,114200.0
2024-06-13,FPT,112900.0,111900.0,113600.0,111200.0
2024-06-14,FPT,111200.0,111000.0,111800.0,110500.0
2024-06-17,FPT,111300.0,111500.0,111600.0,110600.0
2024-06-18,FPT,109800.0,110200.0,110200.0,109400.0
2024-06-19,FPT,105000.0,105500.0,105800.0,103900.0
2024-06-20,FPT,104300.0,104300.0,104600.0,103800.0
2024-06-21,FPT,105600.0,105300.0,106300.0,104900.0
2024-06-24,FPT,106300.0,106000.0,106400.0,105800.0
2024-06-25,FPT,103400.0,103200.0,103900.0,102500.0
2024-06-26,FPT,105300.0,105000.0,105500.0,104400.0
2024-06-27,FPT,106000.0,106200.0,106800.0,105300.0
2024-06-28,FPT,107900.0,108000.0,108700.0,107200.0
2024-07-01,FPT,106000.0,105800.0,106400.0,105600.0
2024-07-02,FPT,108400.0,108400.0,109300.0,108300.0
2024-07-03,FPT,108700.0,108500.0,109500.0,108400.0
2024-07-04,FPT,106600.0,106800.0,107400.0,105700.0
2024-07-05,FPT,107000.0,106400.0,107600.0,105100.0
2024-07-08,FPT,104000.0,104400.0,104700.0,103900.0
2024-07-09,FPT,104600.0,104800.0,105200.0,103900.0
2024-07-10,FPT,102700.0,103500.0,104300.0,102100.0
2024-07-11,FPT,102700.0,103300.0,103600.0,102600.0
2024-07-12,FPT,102200.0,102700.0,103000.0,102200.0
2024-07-15,FPT,103000.0,102900.0,103400.0,102200.0
2024-07-16,FPT,100800.0,100300.0,101700.0,99900.0
2024-07-17,FPT,101300.0,101300.0,101700.0,100800.0
2024-07-18,FPT,99900.0,99300.0,100500.0,98900.0
2024-07-19,FPT,98000.0,98000.0,98300.0,96800.0
2024-07-22,FPT,95600.0,95700.0,95900.0,95200.0
2024-07-23,FPT,96000.0,96100.0,96600.0,95800.0
2024-07-24,FPT,96600.0,97100.0,97400.0,95900.0
2024-07-25,FPT,96400.0,95600.0,96700.0,95600.0
2024-07-26,FPT,95200.0,95600.0,95800.0,94700.0
2024-07-29,FPT,95100.0,95400.0,95700.0,94900.0
2024-07-30,FPT,93800.0,94100.0,94100.0,92900.0
2024-07-31,FPT,94500.0,94800.0,95200.0,94300.0
2024-08-01,FPT,94600.0,94200.0,95200.0,94100.0
2024-08-02,FPT,94600.0,94700.0,95200.0,94400.0
2024-08-05,FPT,95500.0,95400.0,95600.0,95300.0
2024-08-06,FPT,92800.0,92800.0,93100.0,92400.0
2024-08-07,FPT,90400.0,90200.0,91200.0,89800.0
2024-08-08,FPT,90100.0,89500.0,90400.0,89200.0
2024-08-09,FPT,89400.0,89300.0,89600.0,89200.0
2024-08-12,FPT,87300.0,87300.0,87500.0,86000.0
2024-08-13,FPT,87100.0,86900.0,87500.0,86800.0
2024-08-14,FPT,87400.0,87100.0,88100.0,86800.0
2024-08-15,FPT,87900.0,88300.0,88400.0,87900.0
2024-08-16,FPT,88700.0,88900.0,89400.0,88600.0
2024-08-19,FPT,87500.0,87200.0,87800.0,86700.0
2024-08-20,FPT,89500.0,90400.0,90400.0,89100.0
2024-08-21,FPT,88300.0,88900.0,89600.0,88200.0
2024-08-22,FPT,87700.0,88300.0,88700.0,87200.0
2024-08-23,FPT,89300.0,89200.0,89500.0,88500.0
2024-08-26,FPT,89200.0,89100.0,90400.0,88900.0
2024-08-27,FPT,89700.0,89100.0,90300.0,88800.0
2024-08-28,FPT,89100.0,89000.0,89500.0,88600.0
2024-08-29,FPT,89500.0,89300.0,89500.0,89200.0
2024-08-30,FPT,90100.0,90000.0,90500.0,90000.0
2024-09-02,FPT,91300.0,91800.0,92500.0,90900.0
2024-09-03,FPT,93600.0,93200.0,93600.0,93000.0
2024-09-04,FPT,94200.0,94400.0,94700.0,93600.0
2024-09-05,FPT,93100.0,93000.0,93600.0,92100.0
2024-09-06,FPT,92500.0,92800.0,92900.0,91800.0
2024-09-09,FPT,91300.0,90900.0,91500.0,90700.0
2024-09-10,FPT,91400.0,91900.0,92100.0,90200.0
2024-09-11,FPT,91100.0,91400.0,91600.0,90400.0
2024-09-12,FPT,90600.0,90900.0,91600.0,90300.0
2024-09-13,FPT,90600.0,90800.0,91000.0,90200.0
2024-09-16,FPT,92900.0,92800.0,93700.0,92600.0
2024-09-17,FPT,92700.0,93000.0,93100.0,92300.0
2024-09-18,FPT,91800.0,91900.0,92200.0,91800.0
